"";"serie";"fecha";"año";"mes";"valor";"fecha_scraping"
"187";"Inversión extranjera directa (pasivos)";"2018-7-1";2018;7;1462,51233740029;2024-07-10
"188";"Inversión extranjera directa (pasivos)";"2018-8-1";2018;8;918,954916976739;2024-07-10
"189";"Inversión extranjera directa (pasivos)";"2018-9-1";2018;9;301,047546473826;2024-07-10
"190";"Inversión extranjera directa (pasivos)";"2018-10-1";2018;10;1429,08819036491;2024-07-10
"191";"Inversión extranjera directa (pasivos)";"2018-11-1";2018;11;3840,76608904779;2024-07-10
"192";"Inversión extranjera directa (pasivos)";"2018-12-1";2018;12;-4456,39404255659;2024-07-10
"193";"Inversión extranjera directa (pasivos)";"2019-1-1";2019;1;1387,16485924519;2024-07-10
"194";"Inversión extranjera directa (pasivos)";"2019-2-1";2019;2;-332,876150110463;2024-07-10
"195";"Inversión extranjera directa (pasivos)";"2019-3-1";2019;3;1416,56472935199;2024-07-10
"196";"Inversión extranjera directa (pasivos)";"2019-4-1";2019;4;3115,50568724784;2024-07-10
"197";"Inversión extranjera directa (pasivos)";"2019-5-1";2019;5;-804,258094541518;2024-07-10
"198";"Inversión extranjera directa (pasivos)";"2019-6-1";2019;6;2117,33555190486;2024-07-10
"199";"Inversión extranjera directa (pasivos)";"2019-7-1";2019;7;2969,07931203184;2024-07-10
"200";"Inversión extranjera directa (pasivos)";"2019-8-1";2019;8;417,64050867011;2024-07-10
"201";"Inversión extranjera directa (pasivos)";"2019-9-1";2019;9;1478,41755128278;2024-07-10
"202";"Inversión extranjera directa (pasivos)";"2019-10-1";2019;10;1367,72538202354;2024-07-10
"203";"Inversión extranjera directa (pasivos)";"2019-11-1";2019;11;249,571875244365;2024-07-10
"204";"Inversión extranjera directa (pasivos)";"2019-12-1";2019;12;197,219766409377;2024-07-10
"205";"Inversión extranjera directa (pasivos)";"2020-1-1";2020;1;4555,22129466307;2024-07-10
"206";"Inversión extranjera directa (pasivos)";"2020-2-1";2020;2;419,285726217325;2024-07-10
"207";"Inversión extranjera directa (pasivos)";"2020-3-1";2020;3;1762,22780863329;2024-07-10
"208";"Inversión extranjera directa (pasivos)";"2020-4-1";2020;4;1026,13838316809;2024-07-10
"209";"Inversión extranjera directa (pasivos)";"2020-5-1";2020;5;288,820979864879;2024-07-10
"210";"Inversión extranjera directa (pasivos)";"2020-6-1";2020;6;1392,15598040116;2024-07-10
"211";"Inversión extranjera directa (pasivos)";"2020-7-1";2020;7;1464,02336441094;2024-07-10
"212";"Inversión extranjera directa (pasivos)";"2020-8-1";2020;8;485,413482191672;2024-07-10
"213";"Inversión extranjera directa (pasivos)";"2020-9-1";2020;9;-707,878068319371;2024-07-10
"214";"Inversión extranjera directa (pasivos)";"2020-10-1";2020;10;1094,18829702597;2024-07-10
"215";"Inversión extranjera directa (pasivos)";"2020-11-1";2020;11;300,291687263969;2024-07-10
"216";"Inversión extranjera directa (pasivos)";"2020-12-1";2020;12;-632,491646903026;2024-07-10
"217";"Inversión extranjera directa (pasivos)";"2021-1-1";2021;1;1124,20465914417;2024-07-10
"218";"Inversión extranjera directa (pasivos)";"2021-2-1";2021;2;6398,00065089725;2024-07-10
"219";"Inversión extranjera directa (pasivos)";"2021-3-1";2021;3;1939,78798383768;2024-07-10
"220";"Inversión extranjera directa (pasivos)";"2021-4-1";2021;4;3347,39594645748;2024-07-10
"221";"Inversión extranjera directa (pasivos)";"2021-5-1";2021;5;-788,694306541204;2024-07-10
"222";"Inversión extranjera directa (pasivos)";"2021-6-1";2021;6;2323,60656274999;2024-07-10
"223";"Inversión extranjera directa (pasivos)";"2021-7-1";2021;7;3448,79561264887;2024-07-10
"224";"Inversión extranjera directa (pasivos)";"2021-8-1";2021;8;1412,71673840439;2024-07-10
"225";"Inversión extranjera directa (pasivos)";"2021-9-1";2021;9;-799,826773527505;2024-07-10
"226";"Inversión extranjera directa (pasivos)";"2021-10-1";2021;10;1596,69636914183;2024-07-10
"227";"Inversión extranjera directa (pasivos)";"2021-11-1";2021;11;-3129,17959499855;2024-07-10
"228";"Inversión extranjera directa (pasivos)";"2021-12-1";2021;12;-1696,60152966061;2024-07-10
"229";"Inversión extranjera directa (pasivos)";"2022-1-1";2022;1;1829,98128190479;2024-07-10
"230";"Inversión extranjera directa (pasivos)";"2022-2-1";2022;2;400,724605693419;2024-07-10
"231";"Inversión extranjera directa (pasivos)";"2022-3-1";2022;3;1844,6035929728;2024-07-10
"232";"Inversión extranjera directa (pasivos)";"2022-4-1";2022;4;3388,36597881261;2024-07-10
"233";"Inversión extranjera directa (pasivos)";"2022-5-1";2022;5;1611,87116956897;2024-07-10
"234";"Inversión extranjera directa (pasivos)";"2022-6-1";2022;6;1084,42684962744;2024-07-10
"235";"Inversión extranjera directa (pasivos)";"2022-7-1";2022;7;723,926038150056;2024-07-10
"236";"Inversión extranjera directa (pasivos)";"2022-8-1";2022;8;1202,46315552916;2024-07-10
"237";"Inversión extranjera directa (pasivos)";"2022-9-1";2022;9;1383,56804825834;2024-07-10
"238";"Inversión extranjera directa (pasivos)";"2022-10-1";2022;10;1501,20705568011;2024-07-10
"239";"Inversión extranjera directa (pasivos)";"2022-11-1";2022;11;2242,84390090682;2024-07-10
"240";"Inversión extranjera directa (pasivos)";"2022-12-1";2022;12;1022,6174323261;2024-07-10
"241";"Inversión extranjera directa (pasivos)";"2023-1-1";2023;1;1705,48219176909;2024-07-10
"242";"Inversión extranjera directa (pasivos)";"2023-2-1";2023;2;1099,37150184961;2024-07-10
"243";"Inversión extranjera directa (pasivos)";"2023-3-1";2023;3;1663,18617583192;2024-07-10
"244";"Inversión extranjera directa (pasivos)";"2023-4-1";2023;4;3291,91138747987;2024-07-10
"245";"Inversión extranjera directa (pasivos)";"2023-5-1";2023;5;1404,29355301305;2024-07-10
"246";"Inversión extranjera directa (pasivos)";"2023-6-1";2023;6;2298,34092382284;2024-07-10
"247";"Inversión extranjera directa (pasivos)";"2023-7-1";2023;7;2718,08944668758;2024-07-10
"248";"Inversión extranjera directa (pasivos)";"2023-8-1";2023;8;2590,19726319771;2024-07-10
"249";"Inversión extranjera directa (pasivos)";"2023-9-1";2023;9;1651,19698381646;2024-07-10
"250";"Inversión extranjera directa (pasivos)";"2023-10-1";2023;10;1700,64487362441;2024-07-10
"251";"Inversión extranjera directa (pasivos)";"2023-11-1";2023;11;1233,74089746858;2024-07-10
"252";"Inversión extranjera directa (pasivos)";"2023-12-1";2023;12;381,380726820841;2024-07-10
"253";"Inversión extranjera directa (pasivos)";"2024-1-1";2024;1;1896,5405461308;2024-07-10
"254";"Inversión extranjera directa (pasivos)";"2024-2-1";2024;2;1473,50010414195;2024-07-10
"255";"Inversión extranjera directa (pasivos)";"2024-3-1";2024;3;831,688407391858;2024-07-10
"256";"Inversión extranjera directa (pasivos)";"2024-4-1";2024;4;2402,88065021035;2024-07-10
"257";"Inversión extranjera directa (pasivos)";"2024-5-1";2024;5;1638,34270552541;2024-07-10
